Date,result,location,Opp
1988-10-16,W,,Dallas Cowboys
1988-10-24,W,,San Francisco 49ers
1988-10-30,L,@,New England Patriots
1988-11-06,W,,Tampa Bay Buccaneers
1988-11-13,W,@,Washington Redskins
1988-11-20,W,@,Tampa Bay Buccaneers
1988-11-27,W,,Green Bay Packers
1988-12-05,L,@,Los Angeles Rams
1988-12-11,W,,Detroit Lions
1988-12-19,L,@,Minnesota Vikings
1989-09-10,W,,Cincinnati Bengals
1989-09-17,W,,Minnesota Vikings
1989-09-24,W,@,Detroit Lions
1989-10-02,W,,Philadelphia Eagles
1989-10-08,L,@,Tampa Bay Buccaneers
1989-10-15,L,,Houston Oilers
1989-10-23,L,@,Cleveland Browns
1989-10-29,W,,Los Angeles Rams
1989-11-05,L,@,Green Bay Packers
1989-11-12,W,@,Pittsburgh Steelers
1989-11-19,L,,Tampa Bay Buccaneers
1989-11-26,L,@,Washington Redskins
1989-12-03,L,@,Minnesota Vikings
1989-12-10,L,,Detroit Lions
1989-12-17,L,,Green Bay Packers
1989-12-24,L,@,San Francisco 49ers
1990-09-09,W,,Seattle Seahawks
1990-09-16,W,@,Green Bay Packers
1990-09-23,W,,Minnesota Vikings
1990-09-30,L,@,Los Angeles Raiders
1990-10-07,W,,Green Bay Packers
1990-10-14,W,,Los Angeles Rams
1990-10-28,W,@,Phoenix Cardinals
1990-11-04,W,@,Tampa Bay Buccaneers
1990-11-11,W,,Atlanta Falcons
1990-11-18,W,@,Denver Broncos
1990-11-25,L,@,Minnesota Vikings
1990-12-02,W,,Detroit Lions
1990-12-09,L,@,Washington Redskins
1990-12-16,L,@,Detroit Lions
1990-12-23,W,,Tampa Bay Buccaneers
1990-12-29,L,,Kansas City Chiefs
1991-09-01,W,,Minnesota Vikings
1991-09-08,W,@,Tampa Bay Buccaneers
1991-09-15,W,,New York Giants
1991-09-23,W,,New York Jets
1991-09-29,L,@,Buffalo Bills
1991-10-06,L,,Washington Redskins
1991-10-17,W,@,Green Bay Packers
1991-10-27,W,@,New Orleans Saints
1991-11-03,W,,Detroit Lions
1991-11-11,W,@,Minnesota Vikings
1991-11-17,W,@,Indianapolis Colts
